ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
992602,ATLAS EXTRA STRONG 10 TALL CAN,HI-BRIDGE LIQUOR CONSULTING LTD.,BEER,BEER,,,2.68,500,10,,,0.1,NETHERLANDS,
782387,ATLAS EXTRA STRONG 11.9 TALL CAN,HI-BRIDGE LIQUOR CONSULTING LTD.,BEER,BEER,,,3.18,500,11.9,,,0.1,NETHERLANDS,
278648,ATLAS EXTRA STRONG 16 TALL CAN,HI-BRIDGE LIQUOR CONSULTING LTD.,BEER,BEER,,,4.68,500,16,,,0.1,NETHERLANDS,
211532,ATLAS STRONG 8.5 TALL CAN,HI-BRIDGE LIQUOR CONSULTING LTD.,BEER,BEER,,,2.18,500,8.5,,,0.1,NETHERLANDS,
486928,ATTILA THE HONEY 650ML,DELANCEY DIRECT INCORPORATED,BEER,BEER,Ale,,4.72,650,5,,,0.1,CANADA,BRITISH COLUMBIA
774567,AURORA 30L RECYCLABLE KEG,PROVINCIAL,BEER,BEER,,,145,30000,4.5,,,0.25,CANADA,ALBERTA
774569,AURORA 473ML 6X4PK,PROVINCIAL,BEER,BEER,,,10.98,473,4.5,,,0.4,CANADA,ALBERTA
785682,AUSTRALIAN BREWERY ALCHEMY GOLDEN ALE,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,9,375,4.5,,,0.6,AUSTRALIA,NEW SOUTH WALES
785678,AUSTRALIAN BREWERY AUSTRALIAN PALE ALE,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,9,375,4.8,,,0.6,AUSTRALIA,NEW SOUTH WALES
785679,AUSTRALIAN BREWERY NEW WORLD PILSNER,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,9,375,4.8,,,0.6,AUSTRALIA,NEW SOUTH WALES
785680,AUSTRALIAN BREWERY SAISON D'HERETIQUE,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,9,375,6.2,,,0.6,AUSTRALIA,NEW SOUTH WALES
776992,AVBC BRINEY MELON GOSE,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,107.7,30000,4.2,,,0.25,UNITED STATES,CALIFORNIA
750937,AVENTINUS EISBOCK,PREMIER BRANDS  LTD.,BEER,BEER,,,8.46,500,12,,,0.1,GERMANY,OTHER (GERMAN)
795364,AVERBODE ABBEY ALE,MCCLELLAND PREMIUM IMPORTS INCORPORATED,BEER,BEER,,,3.24,330,7.5,,,0.1,BELGIUM,
796248,AVERBODE ABBEY ALE KEG,MCCLELLAND PREMIUM IMPORTS INCORPORATED,BEER,BEER,,,181.03,20000,7.5,,,0.25,BELGIUM,
798132,AVERBODE MONASTERY PACK,MCCLELLAND PREMIUM IMPORTS INCORPORATED,BEER,BEER,,,16.96,330,7.5,,,0.4,BELGIUM,
775265,AXEHEAD 11% 1.18L BOTTLE CLS,MCBSW SALES COMPANY INC.,BEER,BEER,,,5.44,1180,11,,,0.25,CANADA,ALBERTA
777231,AXEHEAD 18 X 710ML CANS,MCBSW SALES COMPANY INC.,BEER,BEER,,,3.9,710,11,,,0.1,UNITED STATES,WISCONSIN
788466,AXEHEAD EXTRA STRONG BEER 8X4 CLS,MCBSW SALES COMPANY INC.,BEER,BEER,,,6.34,355,11,,,0.4,CANADA,ALBERTA
728874,AYINGER ALT-DUNKEL,DELANCEY DIRECT INCORPORATED,BEER,BEER,,,4.37,500,5,,,0.1,GERMANY,OTHER (GERMAN)
777803,AYINGER BRAU-WIESSE,DELANCEY DIRECT INCORPORATED,BEER,BEER,,,15,330,5.1,,,0.4,GERMANY,OTHER (GERMAN)
721421,AYINGER BRAU-WIESSE (HEFEWEIZEN),DELANCEY DIRECT INCORPORATED,BEER,BEER,,,4.37,500,5.1,,,0.1,GERMANY,OTHER (GERMAN)
721429,AYINGER CELEBRATOR DOPPELBOCK,DELANCEY DIRECT INCORPORATED,BEER,BEER,,,16.57,330,7.2,,,0.4,GERMANY,OTHER (GERMAN)
776612,AYINGER FEST-MARZEN,DELANCEY DIRECT INCORPORATED,BEER,BEER,,,11.92,330,5.6,,,0.4,GERMANY,OTHER (GERMAN)
