ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
736284,ASIAN PEAR MOONSTONE PREMIUM JUNMAI,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,8.06,300,13.5,,,0.1,UNITED STATES,OREGON
799647,AWAYUKI SPARKLING SAKE,RIVER VALLEY BEVERAGE,WINE -- SAKE,SAKE,SPARKLING,,7.78,300,5.5,,,0.1,JAPAN,
600676,BABY 'G' PREM JUNMAI GINJO GENSHU SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,14.15,300,18,,,0.1,UNITED STATES,OREGON
709762,BIZEN JUNMAI GINJO PREMIUM SAKE,CENTURY MARKETING CORPORATION,WINE -- SAKE,SAKE,NOT SPARKLING,,11.01,300,15,,,0.1,JAPAN,
678300,BREWMASTERS CHOICE HONJOZO PREMIUM SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,36.83,1800,15.5,,,0.25,JAPAN,
794511,BREWMASTERS CHOICE HONJOZO PREMIUM SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,15.92,720,15.5,,,0.1,JAPAN,
256255,CHUNG HA COLD SAKE,COBEES ENTERPRISE LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,5.73,300,13,,,0.1,KOREA (REPUBLIC OF),
795946,COWBOY YAMAHAI JUNMAI GINJO GENSHU,CENTURY MARKETING CORPORATION,WINE -- SAKE,SAKE,NOT SPARKLING,,26.4,720,18.5,,,0.1,JAPAN,
717873,DAIGINJO ULTRA PREMIUM YOSHINOGAWA SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,61.34,720,16.5,,,0.1,JAPAN,
790420,DAIGINJOU USUNIGORI 720ML,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,46.38,720,16,,,0.1,JAPAN,
778939,DAIGINJYOU BIROKUTEN 1.8L,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,90.99,1800,16,,,0.25,JAPAN,
776742,DAIGINJYOU BIROKUTEN 300ML,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,15.13,300,16,,,0.1,JAPAN,
776790,DAIGINJYOU NAGASAKIBUGYOU 720ML,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,39.73,720,15,,,0.1,JAPAN,
776740,DAIJINJYOU BIROKUTEN 720ML,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,43.07,720,16,,,0.1,JAPAN,
124420,DASSAI '23' PREMIUM JUMAI DAIGINJO SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,35.08,300,16,,,0.1,JAPAN,
124438,DASSAI '39' PREMIUM JUMAI DAIGINJO SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,20.14,300,16,,,0.1,JAPAN,
892943,DASSAI '50' NIGORI JUNMAI DAIGINJO SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,15.15,300,15,,,0.1,JAPAN,
124453,DASSAI '50' PREMIUM JUMAI DAIGINJO SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,30.35,720,16,,,0.1,JAPAN,
335927,DASSAI '50' PREMIUM JUNMAI DAI-GINJO SAK,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,15.15,300,15.5,,,0.1,JAPAN,
586941,DIAMOND MOMOKAWA,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,17.37,750,15,,,0.1,UNITED STATES,OREGON
445155,EIKOH - JAPANESE PLUM WINE,DELANCEY DIRECT INCORPORATED,WINE -- SAKE,SAKE,NOT SPARKLING,,10.89,300,14.5,,,0.1,JAPAN,
795840,F-60 ROKUMARU - MASUKAGAMI SEISHU,CENTURY MARKETING CORPORATION,WINE -- SAKE,SAKE,NOT SPARKLING,,23.7,720,15,,,0.1,JAPAN,
795947,FISHERMAN SOKUJO JINMAI GINJO SAKE,CENTURY MARKETING CORPORATION,WINE -- SAKE,SAKE,NOT SPARKLING,,21.89,720,14.5,,,0.1,JAPAN,
797390,FUKUCHO JUNMAI DAIGINJO HATTANSO 50,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,37.92,720,16,,,0.1,JAPAN,
775506,FUKUCHO SPARKLING SAKE,SAKE GAMI CORP.,WINE -- SAKE,SAKE,SPARKLING,,14.2,300,15,,,0.1,JAPAN,
780407,FUKUCHO SPARKLING SAKE,SAKE GAMI CORP.,WINE -- SAKE,SAKE,SPARKLING,,13.2,300,15,,,0.1,JAPAN,
775507,FUKUCHO YUZU LEMON SAKE,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,20.88,500,8.9,,,0.1,JAPAN,
239012,FUKUMITSUYA - KAGATOBI - AI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,38.72,720,15.7,,,0.1,JAPAN,
349738,FUKUMITSUYA - TRADITION JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,261.87,18000,13,,,0.25,JAPAN,
755500,FUKUMITSUYA - TRADITION JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,15.25,720,13,,,0.1,JAPAN,
767418,FUKUMITSUYA - TRADITION JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,31.97,1800,13,,,0.25,JAPAN,
744443,FUKUMITSUYA KAGATOBI GOKKAN JUNMAI SAKE,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,10.5,300,15,,,0.1,JAPAN,
755497,FUKUMITSUYA KAGATOBI GOKKAN JUNMAI SAKE,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,43.75,1800,15,,,0.25,JAPAN,
301135,FUKUMITSUYA KAZEYO MIZUYO HITOYO JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,19.13,720,12,,,0.1,JAPAN,
568527,FUKUMITSUYA KAZEYO MIZUYO HITOYO JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,9.21,300,12,,,0.1,JAPAN,
755498,FUKUMITSUYA KAZEYO MIZUYO HITOYO JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,39.89,1800,12,,,0.25,JAPAN,
218701,FUKUMITSUYA-KAGATOBI-AI JUNMAI DAIGINJO,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,74.73,1800,16,,,0.25,JAPAN,
184739,FUKUMITSUYA-KUROOBI DO DO YAMAHAI JUNMAI,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,33.92,720,15,,,0.1,JAPAN,
71852,FUKUMITSUYA-MOMOTOSE 5 LONG TERM AGAING,THAT'S LIFE GOURMET LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,26.52,300,15.8,,,0.1,JAPAN,
776644,FUKUTSURU JUNMAI-GINJO 300ML,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,19.32,300,14,,,0.1,JAPAN,
776643,FUKUTSURU JUNMAI-GINJO 720ML,1892708 ALBERTA LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,35.61,720,14,,,0.1,JAPAN,
866392,G SUPER PREMIUM SAKE GENSHU (CASK STR.),BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,27.37,750,18,,,0.1,UNITED STATES,OREGON
145433,GEKKEIKAN,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,8.21,750,14.6,,,0.1,UNITED STATES,CALIFORNIA
283853,GEKKEIKAN,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,155.77,18000,15.6,,,0.25,UNITED STATES,CALIFORNIA
769251,GEKKEIKAN CAP ACE SAKE,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,46.31,180,15.6,,,1.2,JAPAN,
306928,GEKKEIKAN COLD DRAFT SAKE,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,5.72,375,15.6,,,0.1,UNITED STATES,CALIFORNIA
785582,GEKKEIKAN HAIKU PREMIUM,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,6.73,300,15,,,0.1,UNITED STATES,CALIFORNIA
890616,GEKKEIKAN HAIKU PREMIUM SELECT,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,6.73,375,15,,,0.1,UNITED STATES,CALIFORNIA
603837,GEKKEIKAN HORIN JUNMAI DAI GINJO,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,13.23,300,15.5,,,0.1,JAPAN,
820076,GEKKEIKAN JUNMAI SAKE DELUXE,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,32.71,1800,16.7,,,0.25,JAPAN,
757536,GEKKEIKAN NIGORI,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,6.34,300,10,,,0.1,JAPAN,
158535,GEKKEIKAN SAKE,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,15.77,1500,14.6,,,0.25,UNITED STATES,CALIFORNIA
791645,GEKKEIKAN-BLACK & GOLD,SELECT WINES,WINE -- SAKE,SAKE,NOT SPARKLING,,16.68,750,15.6,,,0.1,UNITED STATES,CALIFORNIA
